[SENDER] connected to 127.0.0.1:9001
[SENDER] window=1 case=continuous_bad_frames blobs=8 bytes=259
[SENDER] window=2 case=continuous_bad_frames blobs=8 bytes=299
[SENDER] window=3 case=continuous_bad_frames blobs=8 bytes=159
[SENDER] window=4 case=continuous_bad_frames blobs=8 bytes=249
[SENDER] window=5 case=continuous_bad_frames blobs=8 bytes=242
[SENDER] window=6 case=continuous_bad_frames blobs=8 bytes=178
[SENDER] window=7 case=continuous_bad_frames blobs=8 bytes=143
[SENDER] window=8 case=continuous_bad_frames blobs=8 bytes=237
[SENDER] window=9 case=continuous_bad_frames blobs=8 bytes=271
[SENDER] window=10 case=continuous_bad_frames blobs=8 bytes=245
[SENDER] window=11 case=continuous_bad_frames blobs=8 bytes=319
[SENDER] window=12 case=continuous_bad_frames blobs=8 bytes=252
[SENDER] window=13 case=continuous_bad_frames blobs=8 bytes=187
[SENDER] window=14 case=continuous_bad_frames blobs=8 bytes=258
[SENDER] window=15 case=continuous_bad_frames blobs=8 bytes=233
[SENDER] window=16 case=continuous_bad_frames blobs=8 bytes=176
[SENDER] window=17 case=continuous_bad_frames blobs=8 bytes=200
[SENDER] window=18 case=continuous_bad_frames blobs=8 bytes=240
[SENDER] window=19 case=continuous_bad_frames blobs=8 bytes=217
[SENDER] window=20 case=continuous_bad_frames blobs=8 bytes=189
[SENDER] window=21 case=continuous_bad_frames blobs=8 bytes=280
[SENDER] window=22 case=continuous_bad_frames blobs=8 bytes=226
[SENDER] window=23 case=continuous_bad_frames blobs=8 bytes=214
[SENDER] window=24 case=continuous_bad_frames blobs=8 bytes=242
[SENDER] window=25 case=continuous_bad_frames blobs=8 bytes=244
[SENDER] window=26 case=continuous_bad_frames blobs=8 bytes=270
[SENDER] window=27 case=continuous_bad_frames blobs=8 bytes=190
[SENDER] window=28 case=continuous_bad_frames blobs=8 bytes=242
[SENDER] window=29 case=continuous_bad_frames blobs=8 bytes=184
[SENDER] window=30 case=continuous_bad_frames blobs=8 bytes=231
[SENDER] window=31 case=continuous_bad_frames blobs=8 bytes=203
[SENDER] window=32 case=continuous_bad_frames blobs=8 bytes=266
[SENDER] window=33 case=continuous_bad_frames blobs=8 bytes=188
[SENDER] window=34 case=continuous_bad_frames blobs=8 bytes=203
[SENDER] window=35 case=continuous_bad_frames blobs=8 bytes=241
[SENDER] window=36 case=continuous_bad_frames blobs=8 bytes=192
[SENDER] window=37 case=continuous_bad_frames blobs=8 bytes=236
[SENDER] window=38 case=continuous_bad_frames blobs=8 bytes=267
[SENDER] window=39 case=continuous_bad_frames blobs=8 bytes=247
[SENDER] window=40 case=continuous_bad_frames blobs=8 bytes=263
[SENDER] window=41 case=continuous_bad_frames blobs=8 bytes=302
[SENDER] window=42 case=continuous_bad_frames blobs=8 bytes=285
[SENDER] window=43 case=continuous_bad_frames blobs=8 bytes=201
[SENDER] window=44 case=continuous_bad_frames blobs=8 bytes=224
[SENDER] window=45 case=continuous_bad_frames blobs=8 bytes=212
[SENDER] window=46 case=continuous_bad_frames blobs=8 bytes=272
[SENDER] window=47 case=continuous_bad_frames blobs=8 bytes=227
[SENDER] window=48 case=continuous_bad_frames blobs=8 bytes=179
[SENDER] window=49 case=continuous_bad_frames blobs=8 bytes=228
[SENDER] window=50 case=continuous_bad_frames blobs=8 bytes=238
[SENDER] window=51 case=continuous_bad_frames blobs=8 bytes=200
[SENDER] window=52 case=continuous_bad_frames blobs=8 bytes=145
[SENDER] window=53 case=continuous_bad_frames blobs=8 bytes=261
[SENDER] window=54 case=continuous_bad_frames blobs=8 bytes=203
[SENDER] window=55 case=continuous_bad_frames blobs=8 bytes=185
[SENDER] window=56 case=continuous_bad_frames blobs=8 bytes=200
[SENDER] window=57 case=continuous_bad_frames blobs=8 bytes=262
[SENDER] window=58 case=continuous_bad_frames blobs=8 bytes=212
[SENDER] window=59 case=continuous_bad_frames blobs=8 bytes=216
[SENDER] window=60 case=continuous_bad_frames blobs=8 bytes=240
[SENDER] window=61 case=continuous_bad_frames blobs=8 bytes=226
[SENDER] window=62 case=continuous_bad_frames blobs=8 bytes=229
[SENDER] window=63 case=continuous_bad_frames blobs=8 bytes=273
[SENDER] window=64 case=continuous_bad_frames blobs=8 bytes=222
[SENDER] window=65 case=continuous_bad_frames blobs=8 bytes=186
[SENDER] window=66 case=continuous_bad_frames blobs=8 bytes=213
[SENDER] window=67 case=continuous_bad_frames blobs=8 bytes=229
[SENDER] window=68 case=continuous_bad_frames blobs=8 bytes=276
[SENDER] window=69 case=continuous_bad_frames blobs=8 bytes=199
[SENDER] window=70 case=continuous_bad_frames blobs=8 bytes=282
[SENDER] window=71 case=continuous_bad_frames blobs=8 bytes=133
[SENDER] window=72 case=continuous_bad_frames blobs=8 bytes=289
[SENDER] window=73 case=continuous_bad_frames blobs=8 bytes=197
[SENDER] window=74 case=continuous_bad_frames blobs=8 bytes=286
[SENDER] window=75 case=continuous_bad_frames blobs=8 bytes=248
[SENDER] window=76 case=continuous_bad_frames blobs=8 bytes=266
[SENDER] window=77 case=continuous_bad_frames blobs=8 bytes=260
[SENDER] window=78 case=continuous_bad_frames blobs=8 bytes=196
[SENDER] window=79 case=continuous_bad_frames blobs=8 bytes=175
[SENDER] window=80 case=continuous_bad_frames blobs=8 bytes=280
[SENDER] window=81 case=continuous_bad_frames blobs=8 bytes=185
[SENDER] window=82 case=continuous_bad_frames blobs=8 bytes=207
[SENDER] window=83 case=continuous_bad_frames blobs=8 bytes=243
[SENDER] window=84 case=continuous_bad_frames blobs=8 bytes=225
[SENDER] window=85 case=continuous_bad_frames blobs=8 bytes=192
[SENDER] window=86 case=continuous_bad_frames blobs=8 bytes=227
[SENDER] window=87 case=continuous_bad_frames blobs=8 bytes=335
[SENDER] window=88 case=continuous_bad_frames blobs=8 bytes=232
[SENDER] window=89 case=continuous_bad_frames blobs=8 bytes=221
[SENDER] window=90 case=continuous_bad_frames blobs=8 bytes=230
[SENDER] window=91 case=continuous_bad_frames blobs=8 bytes=275
[SENDER] window=92 case=continuous_bad_frames blobs=8 bytes=226
[SENDER] window=93 case=continuous_bad_frames blobs=8 bytes=250
[SENDER] window=94 case=continuous_bad_frames blobs=8 bytes=248
[SENDER] window=95 case=continuous_bad_frames blobs=8 bytes=225
[SENDER] window=96 case=continuous_bad_frames blobs=8 bytes=240
[SENDER] window=97 case=continuous_bad_frames blobs=8 bytes=236
[SENDER] window=98 case=continuous_bad_frames blobs=8 bytes=303
[SENDER] window=99 case=continuous_bad_frames blobs=8 bytes=224
[SENDER] window=100 case=continuous_bad_frames blobs=8 bytes=266
[SENDER] window=101 case=continuous_bad_frames blobs=8 bytes=232
[SENDER] window=102 case=continuous_bad_frames blobs=8 bytes=201
[SENDER] window=103 case=continuous_bad_frames blobs=8 bytes=250
[SENDER] window=104 case=continuous_bad_frames blobs=8 bytes=220
[SENDER] window=105 case=continuous_bad_frames blobs=8 bytes=212
[SENDER] window=106 case=continuous_bad_frames blobs=8 bytes=318
[SENDER] window=107 case=continuous_bad_frames blobs=8 bytes=285
[SENDER] window=108 case=continuous_bad_frames blobs=8 bytes=277
[SENDER] window=109 case=continuous_bad_frames blobs=8 bytes=154
[SENDER] window=110 case=continuous_bad_frames blobs=8 bytes=247
[SENDER] window=111 case=continuous_bad_frames blobs=8 bytes=209
[SENDER] window=112 case=continuous_bad_frames blobs=8 bytes=175
[SENDER] window=113 case=continuous_bad_frames blobs=8 bytes=291
[SENDER] window=114 case=continuous_bad_frames blobs=8 bytes=202
[SENDER] window=115 case=continuous_bad_frames blobs=8 bytes=274
[SENDER] window=116 case=continuous_bad_frames blobs=8 bytes=329
[SENDER] window=117 case=continuous_bad_frames blobs=8 bytes=273
[SENDER] window=118 case=continuous_bad_frames blobs=8 bytes=282
[SENDER] window=119 case=continuous_bad_frames blobs=8 bytes=167
[SENDER] window=120 case=continuous_bad_frames blobs=8 bytes=293
[SENDER] window=121 case=continuous_bad_frames blobs=8 bytes=268
[SENDER] window=122 case=continuous_bad_frames blobs=8 bytes=263
[SENDER] window=123 case=continuous_bad_frames blobs=8 bytes=210
[SENDER] window=124 case=continuous_bad_frames blobs=8 bytes=195
[SENDER] window=125 case=continuous_bad_frames blobs=8 bytes=191
[SENDER] window=126 case=continuous_bad_frames blobs=8 bytes=229
[SENDER] window=127 case=continuous_bad_frames blobs=8 bytes=285
[SENDER] window=128 case=continuous_bad_frames blobs=8 bytes=191
[SENDER] window=129 case=continuous_bad_frames blobs=8 bytes=268
[SENDER] window=130 case=continuous_bad_frames blobs=8 bytes=222
[SENDER] window=131 case=continuous_bad_frames blobs=8 bytes=229
