[SENDER] connected to 127.0.0.1:9001
[SENDER] window=1 case=continuous_bad_frames blobs=8 bytes=258
[SENDER] window=2 case=continuous_bad_frames blobs=8 bytes=235
[SENDER] window=3 case=continuous_bad_frames blobs=8 bytes=201
[SENDER] window=4 case=continuous_bad_frames blobs=8 bytes=190
[SENDER] window=5 case=continuous_bad_frames blobs=8 bytes=250
[SENDER] window=6 case=continuous_bad_frames blobs=8 bytes=182
[SENDER] window=7 case=continuous_bad_frames blobs=8 bytes=200
[SENDER] window=8 case=continuous_bad_frames blobs=8 bytes=231
[SENDER] window=9 case=continuous_bad_frames blobs=8 bytes=207
[SENDER] window=10 case=continuous_bad_frames blobs=8 bytes=263
[SENDER] window=11 case=continuous_bad_frames blobs=8 bytes=185
[SENDER] window=12 case=continuous_bad_frames blobs=8 bytes=235
[SENDER] window=13 case=continuous_bad_frames blobs=8 bytes=250
[SENDER] window=14 case=continuous_bad_frames blobs=8 bytes=198
[SENDER] window=15 case=continuous_bad_frames blobs=8 bytes=229
[SENDER] window=16 case=continuous_bad_frames blobs=8 bytes=276
[SENDER] window=17 case=continuous_bad_frames blobs=8 bytes=272
[SENDER] window=18 case=continuous_bad_frames blobs=8 bytes=269
[SENDER] window=19 case=continuous_bad_frames blobs=8 bytes=240
[SENDER] window=20 case=continuous_bad_frames blobs=8 bytes=230
[SENDER] window=21 case=continuous_bad_frames blobs=8 bytes=250
[SENDER] window=22 case=continuous_bad_frames blobs=8 bytes=252
[SENDER] window=23 case=continuous_bad_frames blobs=8 bytes=262
[SENDER] window=24 case=continuous_bad_frames blobs=8 bytes=259
[SENDER] window=25 case=continuous_bad_frames blobs=8 bytes=235
[SENDER] window=26 case=continuous_bad_frames blobs=8 bytes=321
[SENDER] window=27 case=continuous_bad_frames blobs=8 bytes=223
[SENDER] window=28 case=continuous_bad_frames blobs=8 bytes=267
[SENDER] window=29 case=continuous_bad_frames blobs=8 bytes=251
[SENDER] window=30 case=continuous_bad_frames blobs=8 bytes=232
[SENDER] window=31 case=continuous_bad_frames blobs=8 bytes=251
[SENDER] window=32 case=continuous_bad_frames blobs=8 bytes=245
[SENDER] window=33 case=continuous_bad_frames blobs=8 bytes=215
[SENDER] window=34 case=continuous_bad_frames blobs=8 bytes=240
[SENDER] window=35 case=continuous_bad_frames blobs=8 bytes=174
[SENDER] window=36 case=continuous_bad_frames blobs=8 bytes=207
[SENDER] window=37 case=continuous_bad_frames blobs=8 bytes=252
[SENDER] window=38 case=continuous_bad_frames blobs=8 bytes=263
[SENDER] window=39 case=continuous_bad_frames blobs=8 bytes=239
[SENDER] window=40 case=continuous_bad_frames blobs=8 bytes=248
[SENDER] window=41 case=continuous_bad_frames blobs=8 bytes=252
[SENDER] window=42 case=continuous_bad_frames blobs=8 bytes=212
[SENDER] window=43 case=continuous_bad_frames blobs=8 bytes=297
[SENDER] window=44 case=continuous_bad_frames blobs=8 bytes=176
[SENDER] window=45 case=continuous_bad_frames blobs=8 bytes=203
[SENDER] window=46 case=continuous_bad_frames blobs=8 bytes=239
[SENDER] window=47 case=continuous_bad_frames blobs=8 bytes=271
[SENDER] window=48 case=continuous_bad_frames blobs=8 bytes=292
[SENDER] window=49 case=continuous_bad_frames blobs=8 bytes=250
[SENDER] window=50 case=continuous_bad_frames blobs=8 bytes=267
[SENDER] window=51 case=continuous_bad_frames blobs=8 bytes=196
[SENDER] window=52 case=continuous_bad_frames blobs=8 bytes=300
[SENDER] window=53 case=continuous_bad_frames blobs=8 bytes=231
[SENDER] window=54 case=continuous_bad_frames blobs=8 bytes=224
[SENDER] window=55 case=continuous_bad_frames blobs=8 bytes=235
[SENDER] window=56 case=continuous_bad_frames blobs=8 bytes=237
[SENDER] window=57 case=continuous_bad_frames blobs=8 bytes=228
[SENDER] window=58 case=continuous_bad_frames blobs=8 bytes=187
[SENDER] window=59 case=continuous_bad_frames blobs=8 bytes=290
[SENDER] window=60 case=continuous_bad_frames blobs=8 bytes=223
[SENDER] window=61 case=continuous_bad_frames blobs=8 bytes=208
[SENDER] window=62 case=continuous_bad_frames blobs=8 bytes=223
[SENDER] window=63 case=continuous_bad_frames blobs=8 bytes=222
[SENDER] window=64 case=continuous_bad_frames blobs=8 bytes=254
[SENDER] window=65 case=continuous_bad_frames blobs=8 bytes=267
[SENDER] window=66 case=continuous_bad_frames blobs=8 bytes=199
[SENDER] window=67 case=continuous_bad_frames blobs=8 bytes=179
[SENDER] window=68 case=continuous_bad_frames blobs=8 bytes=224
[SENDER] window=69 case=continuous_bad_frames blobs=8 bytes=272
[SENDER] window=70 case=continuous_bad_frames blobs=8 bytes=229
[SENDER] window=71 case=continuous_bad_frames blobs=8 bytes=329
[SENDER] window=72 case=continuous_bad_frames blobs=8 bytes=252
[SENDER] window=73 case=continuous_bad_frames blobs=8 bytes=185
[SENDER] window=74 case=continuous_bad_frames blobs=8 bytes=201
[SENDER] window=75 case=continuous_bad_frames blobs=8 bytes=264
[SENDER] window=76 case=continuous_bad_frames blobs=8 bytes=308
[SENDER] window=77 case=continuous_bad_frames blobs=8 bytes=184
[SENDER] window=78 case=continuous_bad_frames blobs=8 bytes=288
[SENDER] window=79 case=continuous_bad_frames blobs=8 bytes=179
[SENDER] window=80 case=continuous_bad_frames blobs=8 bytes=270
[SENDER] window=81 case=continuous_bad_frames blobs=8 bytes=196
[SENDER] window=82 case=continuous_bad_frames blobs=8 bytes=231
[SENDER] window=83 case=continuous_bad_frames blobs=8 bytes=197
[SENDER] window=84 case=continuous_bad_frames blobs=8 bytes=244
[SENDER] window=85 case=continuous_bad_frames blobs=8 bytes=168
[SENDER] window=86 case=continuous_bad_frames blobs=8 bytes=162
[SENDER] window=87 case=continuous_bad_frames blobs=8 bytes=218
[SENDER] window=88 case=continuous_bad_frames blobs=8 bytes=226
[SENDER] window=89 case=continuous_bad_frames blobs=8 bytes=278
